Variable,Coeficiente,Coeficiente_Absoluto
area,0.8192080710095159,0.8192080710095159
stories,0.6629605308422711,0.6629605308422711
airconditioning,0.5572545378475777,0.5572545378475777
prefarea,0.40140656981547435,0.40140656981547435
bathrooms,0.3754371742220325,0.3754371742220325
mainroad,0.34115502935601894,0.34115502935601894
guestroom,0.3210864541888092,0.3210864541888092
basement,0.3118997909041642,0.3118997909041642
bedrooms,0.22016977156948955,0.22016977156948955
furnishingstatus,-0.20790167589182096,0.20790167589182096
parking,0.17777499594497692,0.17777499594497692
hotwaterheating,0.04556428732450654,0.04556428732450654
